"ranking","country","crimeIndex","pop2022"
"1","Venezuela","83.7600","29266.9910"
"2","Papua New Guinea","80.7900","9292.1690"
"3","South Africa","76.8600","60756.1350"
"4","Afghanistan","76.3100","40754.3880"
"5","Honduras","74.5400","10221.2470"
"6","Trinidad And Tobago","71.6300","1406.5850"
"7","Guyana","68.7400","794.0450"
"8","El Salvador","67.7900","6550.3890"
"9","Brazil","67.4900","215353.5930"
"10","Jamaica","67.4200","2985.0940"
"11","Syria","67.1800","19364.8090"
"12","Peru","66.7200","33684.2080"
"13","Angola","66.4800","35027.3430"
"14","Cameroon","65.2400","27911.5480"
"15","Namibia","65.2100","2633.8740"
"16","Nigeria","64.0600","216746.9340"
"17","Bangladesh","63.9000","167885.6890"
"18","Argentina","63.8200","46010.2340"
"19","Puerto Rico","62.8400","2829.8120"
"20","Bahamas","62.0600","400.5160"
"21","Libya","61.7800","7040.7450"
"22","Dominican Republic","61.0200","11056.3700"
"23","Kenya","60.1400","56215.2210"
"24","Belarus","59.5800","9432.8000"
"25","Zimbabwe","59.3000","15331.4280"
"26","Guatemala","58.6700","18584.0390"
"27","Bolivia","57.7700","11992.6560"
"28","Fiji","57.6200","909.4660"
"29","Malaysia","57.2900","33181.0720"
"31","Colombia","56.8700","51512.7620"
"30","Kyrgyzstan","56.8700","6728.2710"
"32","Uganda","56.1200","48432.8630"
"33","Somalia","56.0400","16841.7950"
"34","Mongolia","56.0100","3378.0780"
"35","Tanzania","56","63298.5500"
"36","Maldives","55.3400","540.9850"
"37","Ecuador","55.2300","18113.3610"
"38","Costa Rica","54.2200","5182.3540"
"39","Mexico","54.1900","131562.7720"
"40","Kazakhstan","53.7700","19205.0430"
"41","Chile","53.4200","19250.1950"
"42","Botswana","52.9800","2441.1620"
"43","Algeria","52.0300","45350.1480"
"44","France","51.9900","65584.5180"
"45","Uruguay","51.7300","3496.0160"
"46","Cambodia","51.1300","17168.6390"
"47","Belize","50.3900","412.1900"
"48","Iran","49.3800","86022.8370"
"49","Paraguay","49.3700","7305.8430"
"50","Ethiopia","49.3000","120812.6980"
"51","Mauritius","48.8800","1274.7270"
"52","Morocco","48.6600","37772.7560"
"53","Iraq","48.4200","42164.9650"
"54","Sweden","48","10218.9710"
"55","Nicaragua","47.8900","6779.1000"
"56","United States","47.8100","334805.2690"
"57","Ukraine","47.4200","43192.1220"
"58","Ghana","46.9800","32395.4500"
"59","Egypt","46.8300","106156.6920"
"60","Lebanon","46.7700","6684.8490"
"61","Myanmar","46.5100","55227.1430"
"62","Moldova","46.3500","4013.1710"
"63","Vietnam","46.1900","98953.5410"
"64","United Kingdom","46.0700","68497.9070"
"65","Indonesia","45.9300","279134.5050"
"66","Greece","45.8500","10316.6370"
"67","Ireland","45.5100","5020.1990"
"68","Panama","45.1500","4446.9640"
"69","Italy","44.8500","60262.7700"
"70","Belgium","44.5800","11668.2780"
"71","India","44.4300","1406631.7760"
"72","Palestine","43.7400","5345.5410"
"73","Tunisia","43.6900","12046.6560"
"74","Zambia","43.6200","19470.2340"
"75","Australia","43.0300","26068.7920"
"76","Bosnia And Herzegovina","42.9900","3249.3170"
"77","New Zealand","42.8800","4898.2030"
"78","Albania","42.5300","2866.3740"
"79","Pakistan","42.5100","229488.9940"
"80","Philippines","42.4600","112508.9940"
"81","Sudan","42.3400","45992.0200"
"82","Canada","41.8900","38388.4190"
"83","Sri Lanka","41.3900","21575.8420"
"84","Montenegro","41.1800","627.9500"
"85","Malta","40.3900","444.0330"
"86","Russia","39.9900","145805.9470"
"87","Jordan","39.9600","10300.8690"
"88","Turkey","39.6200","85561.9760"
"89","Thailand","39.3500","70078.2030"
"90","North Macedonia","39.1200","2081.3040"
"91","Latvia","38.7700","1848.8370"
"92","Bulgaria","38.2100","6844.5970"
"93","Serbia","38.1000","8653.0160"
"95","Nepal","36.0100","30225.5820"
"96","Germany","35.7900","83883.5960"
"97","Hungary","34.3600","9606.2590"
"98","Luxembourg","34.1300","642.3710"
"99","Norway","33.7200","5511.3700"
"101","Uzbekistan","33.4200","34382.0840"
"100","Kuwait","33.4200","4380.3260"
"102","Lithuania","33.4200","2661.7080"
"103","Spain","33.3200","46719.1420"
"104","Azerbaijan","32.0200","10300.2050"
"105","Israel","31.4700","8922.8920"
"106","Cyprus","31.2800","1223.3870"
"107","Poland","30.5000","37739.7850"
"108","Slovakia","30.3700","5460.1930"
"109","China","30.1400","1448471.4000"
"110","Portugal","29.9100","10140.5700"
"111","Brunei","29","445.4310"
"112","Cuba","28.3300","11305.6520"
"113","Romania","28.3000","19031.3350"
"114","Singapore","27.9600","5943.5460"
"115","Finland","27.5900","5554.9600"
"116","Netherlands","27.1600","17211.4470"
"117","South Korea","26.6800","51329.8990"
"118","Denmark","26.2200","5834.9500"
"119","Bahrain","25.6400","1783.9830"
"120","Austria","25.5400","9066.7100"
"121","Czech Republic","25.5200","10736.7840"
"122","Saudi Arabia","25.2300","35844.9090"
"123","Rwanda","24.8900","13600.4640"
"124","Croatia","24.5900","4059.2860"
"125","Iceland","23.7500","345.3930"
"126","Estonia","23.7100","1321.9100"
"127","Georgia","23.3800","3968.7380"
"128","Armenia","22.7900","2971.9660"
"129","Slovenia","22.2800","2078.0340"
"130","Japan","22.1900","125584.8380"
"131","Hong Kong","22","7604.2990"
"132","Switzerland","21.6200","8773.6370"
"133","Oman","20.3400","5323.9930"
"134","Isle Of Man","19.2500","85.7320"
"135","Taiwan","15.4600","23888.5950"
"136","United Arab Emirates","15.2300","10081.7850"
"137","Qatar","12.1300","2979.9150"